comp_id;wine_id;residual_sugar;chlorides;sulphates
99;99;2.5;0.091;0.8
100;100;2.0;0.122;0.69
101;101;1.8;0.104;0.93
102;102;2.2;0.084;0.66
103;103;2.2;0.085;0.66
104;104;2.3;0.08;0.67
105;105;2.2;0.09;0.63
106;106;1.9;0.077;0.61
107;107;2.0;0.082;0.5
108;108;2.2;0.119;0.6
109;109;1.8;0.097;0.54
110;110;1.7;0.178;0.57
111;111;2.5;0.075;0.52
112;112;2.6;0.08;0.53
113;113;1.6;0.082;0.48
114;114;1.9;0.146;0.7
115;115;1.7;0.081;0.49
116;116;1.8;0.082;0.48
117;117;1.8;0.065;0.92
118;118;1.8;0.072;0.57
119;119;2.0;0.118;0.66
120;120;2.3;0.049;0.63
121;121;1.5;0.06;0.58
122;122;2.2;0.084;0.55
123;123;1.9;0.09;0.82
124;124;1.8;0.089;0.77
125;125;2.0;0.081;0.64
126;126;2.1;0.081;0.54
127;127;2.0;0.081;0.54
128;128;1.8;0.05;0.79
129;129;1.7;0.066;0.58
130;130;1.8;0.117;0.62
131;131;1.8;0.087;0.52
132;132;1.6;0.236;0.8
133;133;2.3;0.074;0.58
134;134;2.8;0.089;0.61
135;135;2.1;0.077;0.53
136;136;3.4;0.61;2.0
137;137;1.8;0.095;0.54
138;138;5.5;0.07;0.72
139;139;5.5;0.071;0.71
140;140;2.2;0.073;0.5
141;141;1.9;0.079;0.57
142;142;2.0;0.09;0.56
143;143;1.3;0.072;1.08
144;144;1.7;0.076;0.56
145;145;7.3;0.07;0.49
146;146;7.2;0.07;0.49
147;147;1.7;0.1;0.62
148;148;2.1;0.085;0.52
149;149;1.6;0.072;0.48
150;150;2.1;0.089;0.55
151;151;1.8;0.36;1.59
152;152;1.8;0.058;0.33
153;153;2.0;0.073;0.61
154;154;1.9;0.068;0.57
155;155;2.0;0.08;0.47
156;156;1.5;0.085;0.78
157;157;2.3;0.087;0.61
158;158;2.5;0.068;0.56
159;159;2.4;0.067;0.59
160;160;2.0;0.27;1.02
161;161;2.5;0.076;0.52
162;162;1.8;0.077;0.58
163;163;1.9;0.079;0.58
164;164;2.0;0.111;0.53
165;165;2.0;0.082;0.55
166;166;2.6;0.084;0.49
167;167;2.0;0.084;0.55
168;168;1.9;0.082;0.55
169;169;2.9;0.077;0.62
170;170;1.9;0.074;0.62
171;171;3.8;0.099;0.61
172;172;2.2;0.071;0.55
173;173;2.0;0.074;0.54
174;174;2.4;0.074;0.59
175;175;2.0;0.067;0.97
176;176;1.2;0.046;0.85
177;177;2.1;0.061;0.43
178;178;1.4;0.056;0.82
179;179;2.1;0.097;1.03
180;180;1.5;0.075;0.79
181;181;1.6;0.088;0.55
182;182;1.6;0.089;0.56
183;183;2.6;0.095;0.77
184;184;1.8;0.069;0.53
185;185;2.7;0.1;0.67
186;186;2.1;0.054;0.88
187;187;2.0;0.039;0.86
188;188;2.8;0.083;0.56
189;189;2.1;0.059;0.67
190;190;2.2;0.06;0.43
191;191;2.4;0.092;0.71
192;192;5.6;0.06;0.76
193;193;2.0;0.101;0.57
194;194;2.2;0.072;0.55
195;195;1.9;0.076;0.54
196;196;2.4;0.08;0.6
197;197;2.0;0.082;0.59
198;198;2.0;0.101;0.57
199;199;1.5;0.057;0.6
200;200;2.0;0.083;0.6
201;201;2.0;0.089;0.57
202;202;2.6;0.073;0.58
203;203;2.0;0.337;1.61
204;204;2.6;0.089;0.63
205;205;2.6;0.081;0.5
206;206;1.6;0.054;0.62
207;207;1.8;0.078;0.52
208;208;2.8;0.09;0.7
209;209;2.3;0.065;0.55
210;210;1.9;0.097;0.58
211;211;1.9;0.097;0.58
212;212;1.7;0.263;1.09
213;213;2.1;0.093;0.71
214;214;1.8;0.102;0.49
215;215;2.2;0.075;0.84
216;216;2.0;0.084;0.96
217;217;1.9;0.075;0.52
218;218;2.3;0.072;0.45
219;219;1.7;0.074;0.48
220;220;1.6;0.063;0.78
221;221;1.8;0.074;0.7
222;222;3.1;0.09;0.53
223;223;1.9;0.092;0.59
224;224;3.2;0.073;0.57
225;225;2.2;0.075;0.62
226;226;2.1;0.075;0.67
227;227;1.8;0.611;1.26
228;228;2.6;0.085;0.8
229;229;1.7;0.077;0.65
230;230;2.0;0.087;0.6
231;231;1.7;0.07;0.57
232;232;1.8;0.077;0.67
233;233;2.4;0.064;0.87
234;234;1.8;0.071;0.72
235;235;3.3;0.096;0.72
236;236;3.6;0.078;0.86
237;237;3.0;0.077;0.91
238;238;4.0;0.104;0.97
239;239;4.0;0.087;0.67
240;240;4.0;0.071;0.78
241;241;2.4;0.076;0.64
242;242;7.0;0.088;0.77
243;243;6.4;0.073;0.82
244;244;5.6;0.087;0.77
245;245;3.6;0.071;0.82
246;246;3.5;0.358;1.08
247;247;3.0;0.067;0.57
248;248;3.4;0.102;0.71
249;249;2.0;0.073;0.76
250;250;3.0;0.092;0.7
251;251;2.5;0.091;0.86
252;252;3.3;0.105;0.95
253;253;2.0;0.343;0.71
254;254;2.7;0.091;0.64
255;255;2.4;0.098;0.6
256;256;3.2;0.094;0.81
257;257;2.5;0.073;0.64
258;258;2.6;0.086;0.52
259;259;2.0;0.083;0.73
260;260;2.3;0.094;0.8
261;261;2.1;0.08;0.71
262;262;2.6;0.086;0.59
263;263;1.5;0.068;0.64
264;264;2.6;0.092;0.72
265;265;1.6;0.186;0.54
266;266;2.1;0.112;0.52
267;267;2.5;0.063;0.59
268;268;2.2;0.082;0.52
269;269;2.4;0.213;0.62
270;270;2.4;0.214;0.63
271;271;1.7;0.062;0.53
272;272;2.0;0.072;0.54
273;273;2.8;0.093;0.63
274;274;3.0;0.076;0.53
275;275;2.6;0.087;0.68
276;276;2.5;0.096;0.65
277;277;3.4;0.102;0.65
278;278;2.9;0.082;0.64
279;279;3.2;0.083;0.71
280;280;3.4;0.09;0.62
281;281;2.3;0.079;0.63
282;282;2.8;0.09;0.7
283;283;11.0;0.071;0.69
284;284;3.65;0.121;0.74
285;285;4.5;0.107;0.83
286;286;2.6;0.082;0.67
287;287;2.0;0.061;0.62
288;288;2.9;0.122;0.66
289;289;3.2;0.066;0.54
290;290;2.1;0.105;0.52
291;291;2.5;0.078;0.74
292;292;3.4;0.128;0.84
293;293;1.9;0.052;0.7
294;294;2.8;0.08;0.64
295;295;3.0;0.103;1.0
296;296;2.3;0.082;1.36
297;297;2.4;0.066;1.18
298;298;2.7;0.065;0.87
299;299;1.8;0.118;0.75
300;300;2.6;0.082;0.78
301;301;1.9;0.067;0.81
302;302;2.7;0.072;0.89
303;303;3.0;0.093;0.93
304;304;2.8;0.089;0.92
305;305;2.6;0.093;0.86
306;306;2.7;0.107;0.98
307;307;2.6;0.096;0.83
308;308;2.4;0.09;0.73
309;309;4.8;0.12;0.77
310;310;1.4;0.066;0.59
311;311;2.4;0.078;0.61
312;312;3.0;0.08;0.88
313;313;2.95;0.116;0.75
314;314;3.1;0.109;0.85
315;315;2.6;0.088;0.68
316;316;2.0;0.099;0.7
317;317;2.6;0.086;0.91
318;318;2.5;0.072;0.56
319;319;2.0;0.071;0.87
320;320;5.8;0.083;0.73
321;321;3.4;0.107;0.93
322;322;2.6;0.076;0.69
323;323;2.8;0.159;0.64
324;324;2.4;0.074;1.13
325;325;2.3;0.063;0.78
326;326;1.6;0.056;0.87
327;327;1.8;0.067;1.04
328;328;2.2;0.106;0.63
329;329;3.8;0.089;0.81
330;330;4.4;0.124;0.83
331;331;3.0;0.078;1.11
332;332;6.2;0.088;0.99
333;333;2.5;0.094;0.7
334;334;2.0;0.08;0.8
335;335;2.9;0.085;0.8
336;336;2.1;0.087;0.74
337;337;2.4;0.09;0.76
338;338;2.0;0.088;0.74
339;339;1.9;0.079;0.54
340;340;1.9;0.088;0.74
341;341;2.5;0.096;0.7
342;342;1.4;0.045;0.82
343;343;2.0;0.082;0.51
344;344;2.0;0.112;0.54
345;345;2.3;0.063;0.57
346;346;4.2;0.066;0.6
347;347;7.9;0.122;0.53
348;348;2.6;0.087;0.65
349;349;2.3;0.064;0.55
350;350;1.7;0.059;0.47
351;351;2.6;0.085;0.61
352;352;2.7;0.085;0.63
353;353;2.7;0.075;0.61
354;354;1.4;0.059;0.76
355;355;2.5;0.063;0.65
356;356;3.0;0.093;0.63
357;357;3.7;0.174;0.7
358;358;4.5;0.07;0.57
359;359;2.5;0.08;0.62
360;360;2.4;0.08;0.62
361;361;1.9;0.1;0.64
362;362;6.7;0.097;0.82
363;363;2.7;0.087;0.61
364;364;6.6;0.117;1.07
365;365;2.2;0.111;0.66
366;366;1.9;0.091;0.48
367;367;2.0;0.121;0.76
368;368;1.8;0.066;0.68
369;369;2.4;0.089;0.73
370;370;2.3;0.059;0.56
371;371;2.0;0.047;0.44
372;372;2.1;0.066;0.9
373;373;2.1;0.045;0.49
374;374;1.9;0.077;0.56
375;375;1.3;0.07;0.6
376;376;2.4;0.088;0.6
377;377;2.2;0.074;0.56
378;378;2.3;0.078;0.65
379;379;2.3;0.091;0.49
380;380;3.2;0.076;0.89
381;381;2.0;0.06;0.56
382;382;3.2;0.066;0.66
383;383;1.5;0.062;0.6
384;384;2.2;0.072;0.82
385;385;2.15;0.068;0.68
386;386;3.7;0.1;0.68
387;387;2.7;0.077;0.63
388;388;1.7;0.054;0.84
389;389;2.1;0.079;0.56
390;390;2.6;0.081;0.73
391;391;2.1;0.127;0.72
392;392;2.0;0.1;0.56
393;393;2.8;0.095;0.61
394;394;1.8;0.413;1.06
395;395;1.7;0.084;0.63
396;396;2.8;0.084;0.74
397;397;1.6;0.063;0.63
398;398;5.2;0.086;0.69
399;399;2.3;0.095;0.58
400;400;2.7;0.097;0.58
401;401;2.2;0.074;0.57
402;402;2.3;0.083;0.61
403;403;2.6;0.087;0.61
404;404;2.55;0.085;0.61
405;405;2.2;0.098;0.53
406;406;2.1;0.084;0.7
407;407;2.9;0.098;0.91
408;408;2.0;0.069;0.72
409;409;2.6;0.065;0.79
410;410;2.1;0.09;0.62
411;411;1.2;0.07;0.58
412;412;2.6;0.093;0.61
413;413;2.4;0.081;0.71
414;414;2.6;0.083;0.82
415;415;2.1;0.062;0.79
416;416;1.7;0.08;0.89
417;417;2.2;0.087;0.6
418;418;2.0;0.091;0.7
419;419;1.8;0.075;1.06
420;420;2.7;0.077;0.7
421;421;15.5;0.069;0.66
422;422;2.8;0.08;0.92
423;423;2.2;0.152;1.05
424;424;2.2;0.152;1.06
425;425;4.1;0.114;0.66
426;426;1.9;0.054;0.47
427;427;1.8;0.053;0.42
428;428;2.8;0.081;0.92
429;429;2.6;0.073;0.75
430;430;2.8;0.078;0.67
431;431;2.5;0.055;0.79
432;432;2.6;0.052;0.9
433;433;3.0;0.086;0.74
434;434;8.3;0.051;0.55
435;435;2.6;0.07;0.65
436;436;1.9;0.081;0.65
437;437;2.5;0.09;0.79
438;438;6.55;0.074;0.85
439;439;1.9;0.078;1.04
440;440;1.8;0.077;1.05
441;441;2.9;0.072;0.78
442;442;1.8;0.075;1.02
443;443;2.3;0.084;0.71
444;444;2.2;0.09;0.63
445;445;2.8;0.084;0.68
446;446;4.6;0.073;0.61
447;447;2.1;0.125;0.81
448;448;2.4;0.107;0.66
449;449;6.1;0.122;1.14
450;450;4.3;0.1;0.74
451;451;2.1;0.2;0.63
452;452;2.8;0.088;0.68
453;453;2.5;0.088;0.78
454;454;2.7;0.088;0.9
455;455;2.0;0.088;0.64
456;456;2.3;0.099;0.99
457;457;2.5;0.085;0.55
458;458;2.4;0.086;0.64
459;459;2.8;0.105;0.67
460;460;2.5;0.097;0.77
461;461;2.6;0.084;0.75
462;462;2.4;0.077;0.57
463;463;2.1;0.078;0.87
464;464;2.7;0.098;0.61
465;465;2.1;0.072;0.66
466;466;2.7;0.102;0.56
467;467;2.1;0.084;0.77
468;468;5.8;0.066;0.66
469;469;5.15;0.1;0.62
470;470;3.3;0.101;0.67
471;471;6.3;0.064;0.73
472;472;2.1;0.07;0.59
473;473;2.5;0.085;0.72
474;474;1.8;0.075;0.79
475;475;2.6;0.094;0.59
476;476;2.0;0.078;0.78
477;477;2.5;0.067;0.86
478;478;2.6;0.079;0.75
479;479;1.9;0.171;0.61
480;480;2.1;0.074;0.56
481;481;2.8;0.092;0.73
482;482;2.7;0.092;0.74
483;483;1.6;0.05;0.62
484;484;4.2;0.095;0.74
485;485;4.6;0.118;0.56
486;486;4.2;0.095;0.74
487;487;4.3;0.085;0.68
488;488;2.8;0.075;0.57
489;489;2.4;0.078;0.58
490;490;2.9;0.094;0.61
491;491;2.7;0.092;0.61
492;492;2.5;0.226;0.6
493;493;2.6;0.25;0.79
494;494;2.2;0.095;0.57
495;495;3.3;0.07;0.91
496;496;2.4;0.075;0.61
497;497;2.1;0.07;0.56
498;498;3.2;0.078;0.7
499;499;3.1;0.079;0.8
500;500;2.3;0.103;0.52
501;501;2.8;0.083;0.6
502;502;2.9;0.085;0.6
503;503;2.2;0.063;0.51
504;504;2.2;0.089;0.44
505;505;2.2;0.083;0.43
506;506;1.9;0.074;0.66
507;507;3.4;0.093;0.76
508;508;2.4;0.091;0.66
509;509;2.7;0.094;1.02
510;510;1.9;0.108;0.59
511;511;2.0;0.06;0.74
512;512;2.6;0.059;0.74
513;513;2.6;0.084;0.57
514;514;1.7;0.07;0.5
515;515;3.5;0.094;0.58
516;516;2.6;0.096;0.53
517;517;7.9;0.086;0.57
518;518;2.0;0.059;0.6
519;519;1.9;0.071;0.63
520;520;2.1;0.078;0.48
521;521;2.3;0.082;0.7
522;522;2.1;0.088;0.47
523;523;2.2;0.071;0.56
524;524;2.6;0.081;0.52
525;525;2.9;0.096;0.62
526;526;2.6;0.085;0.59
527;527;4.6;0.072;0.79
528;528;3.3;0.092;0.53
529;529;5.1;0.11;0.64
530;530;3.2;0.075;0.52
531;531;2.5;0.083;0.54
532;532;2.7;0.081;0.54
533;533;2.4;0.077;0.6
534;534;1.5;0.058;0.74
535;535;2.2;0.148;1.36
536;536;2.3;0.079;0.57
537;537;2.2;0.079;0.93
538;538;2.7;0.122;0.7
539;539;2.3;0.088;0.8
540;540;3.4;0.076;0.61
541;541;3.4;0.078;0.62
542;542;1.9;0.08;0.55
543;543;2.9;0.077;0.96
544;544;5.6;0.124;0.72
545;545;2.2;0.098;0.49
546;546;2.5;0.097;0.6
547;547;2.3;0.111;0.61
548;548;2.7;0.105;0.63
549;549;3.0;0.087;0.57
550;550;3.4;0.105;0.64
551;551;1.9;0.073;0.58
552;552;1.4;0.065;0.55
553;553;2.4;0.086;0.53
554;554;2.3;0.084;0.53
555;555;2.2;0.143;0.65
556;556;1.9;0.067;1.36
557;557;2.3;0.071;0.62
558;558;2.3;0.071;0.63
559;559;6.0;0.115;0.69
560;560;3.6;0.107;0.63
561;561;2.2;0.07;0.58
562;562;2.8;0.066;0.67
563;563;8.6;0.068;0.57
564;564;2.2;0.106;0.5
565;565;2.5;0.104;0.67
566;566;7.5;0.096;0.84
567;567;2.8;0.079;0.54
568;568;2.4;0.074;0.46
569;569;2.9;0.087;0.61
570;570;1.4;0.073;0.68
571;571;1.4;0.074;0.81
572;572;4.4;0.096;0.57
573;573;1.6;0.08;0.64
574;574;1.6;0.076;0.7
575;575;1.8;0.05;0.79
576;576;2.0;0.092;0.66
577;577;2.0;0.084;0.56
578;578;1.8;0.222;0.6
579;579;2.0;0.082;0.66
580;580;2.3;0.059;0.57
581;581;2.5;0.083;0.58
582;582;1.7;0.074;0.52
583;583;2.0;0.079;0.53
584;584;2.2;0.084;0.67
585;585;2.2;0.064;0.65
586;586;2.3;0.084;0.48
587;587;2.6;0.081;0.53
588;588;3.3;0.06;0.54
589;589;1.9;0.07;0.49
590;590;2.2;0.094;0.49
591;591;2.25;0.078;0.54
592;592;2.6;0.059;0.56
593;593;2.3;0.078;0.48
594;594;1.8;0.07;0.6
595;595;3.1;0.095;0.59
596;596;1.6;0.039;0.47
597;597;1.8;0.157;1.05
598;598;4.25;0.097;0.54
599;599;2.6;0.087;0.54
600;600;2.0;0.422;1.17
601;601;2.8;0.084;0.62
602;602;2.7;0.084;0.61
603;603;1.3;0.034;0.62
604;604;2.1;0.066;0.67
605;605;3.2;0.087;0.53
606;606;2.1;0.071;0.62
607;607;2.9;0.076;0.57
608;608;2.1;0.067;0.67
609;609;2.6;0.073;0.7
610;610;1.6;0.078;0.54
611;611;6.0;0.073;0.49
612;612;2.0;0.093;0.47
613;613;3.0;0.077;0.51
614;614;2.5;0.068;0.61
615;615;1.6;0.062;0.66
616;616;2.8;0.08;0.57
617;617;3.0;0.093;0.61
618;618;3.2;0.084;0.45
619;619;2.3;0.075;0.46
620;620;2.6;0.078;0.51
621;621;2.7;0.069;0.48
622;622;2.6;0.079;0.57
623;623;2.0;0.082;0.44
624;624;3.9;0.086;0.54
625;625;2.85;0.094;0.53
626;626;2.7;0.084;0.59
627;627;2.2;0.053;1.62
628;628;3.1;0.086;0.6
629;629;3.0;0.077;0.55
630;630;2.8;0.084;0.72
631;631;1.8;0.067;0.68
632;632;3.2;0.071;0.49
633;633;2.3;0.387;0.67
634;634;3.45;0.088;0.52
635;635;2.1;0.092;0.47
636;636;2.7;0.082;0.6
637;637;2.0;0.075;0.62
638;638;2.1;0.112;0.5
639;639;2.5;0.093;0.65
640;640;2.8;0.092;0.56
641;641;2.4;0.088;0.6
642;642;4.2;0.075;0.68
643;643;2.6;0.078;0.57
644;644;1.9;0.065;0.65
645;645;2.8;0.096;0.53
646;646;2.7;0.095;0.51
647;647;2.1;0.07;0.73
648;648;2.5;0.08;0.47
649;649;2.6;0.083;0.48
650;650;2.1;0.071;0.72
651;651;2.9;0.089;0.55
652;652;2.5;0.097;0.61
653;653;1.7;0.415;1.06
654;654;1.9;0.058;0.43
655;655;2.0;0.057;0.46
656;656;2.2;0.084;0.5
657;657;2.5;0.092;0.52
658;658;2.8;0.075;0.57
659;659;2.0;0.096;0.42
660;660;1.7;0.069;0.53
661;661;2.8;0.093;0.55
662;662;3.0;0.091;0.54
663;663;2.9;0.089;0.54
664;664;2.7;0.103;0.62
665;665;2.3;0.082;0.53
666;666;1.9;0.076;0.54
667;667;2.4;0.082;0.55
668;668;2.3;0.082;0.55
669;669;1.8;0.157;0.92
670;670;1.8;0.157;0.91
671;671;3.0;0.102;0.46
672;672;2.4;0.243;0.6
673;673;2.4;0.241;0.59
674;674;3.4;0.079;0.61
675;675;2.6;0.076;0.6
676;676;2.0;0.19;0.6
677;677;2.4;0.114;0.65
678;678;2.4;0.081;0.53
679;679;2.5;0.077;0.59
680;680;2.3;0.083;0.5
681;681;2.2;0.079;0.56
682;682;2.9;0.099;0.52
683;683;2.6;0.082;0.68
684;684;2.9;0.084;0.54
685;685;2.5;0.081;0.6
686;686;2.6;0.055;0.56
687;687;2.3;0.065;0.53
688;688;2.6;0.132;1.18
689;689;2.5;0.126;0.74
690;690;1.6;0.038;0.81
691;691;3.6;0.082;0.52
692;692;4.0;0.082;0.51
693;693;3.3;0.068;0.44
694;694;1.7;0.044;0.94
695;695;2.5;0.114;0.66
696;696;2.7;0.084;0.57
697;697;2.4;0.052;0.7
698;698;2.0;0.041;0.71
699;699;1.9;0.165;0.86
700;700;2.8;0.07;0.55
701;701;2.6;0.068;0.47
702;702;2.8;0.072;0.68
703;703;2.5;0.099;0.71
704;704;2.1;0.102;0.58
705;705;2.8;0.103;0.76
706;706;3.2;0.081;0.58
707;707;1.6;0.084;0.73
708;708;2.35;0.071;0.45
709;709;3.2;0.097;0.54
710;710;1.9;0.099;0.6
711;711;2.1;0.048;0.74
712;712;2.0;0.076;0.64
713;713;2.8;0.068;0.53
714;714;2.8;0.076;0.49
715;715;2.3;0.05;0.64
716;716;2.3;0.065;0.74
717;717;2.1;0.071;0.77
718;718;2.5;0.058;0.55
719;719;1.5;0.145;0.86
720;720;1.6;0.147;0.86
721;721;1.6;0.088;0.47
722;722;1.5;0.066;0.51
723;723;2.4;0.012;0.39
724;724;1.6;0.075;0.83
725;725;2.2;0.092;0.47
726;726;2.65;0.085;0.77
727;727;3.0;0.115;0.63
728;728;2.6;0.119;0.72
729;729;2.0;0.088;0.62
730;730;1.7;0.062;0.83
731;731;1.8;0.081;0.66
732;732;1.8;0.078;0.7
733;733;1.6;0.08;0.66
734;734;1.9;0.085;0.55
735;735;2.5;0.08;1.07
736;736;1.5;0.08;0.73
737;737;2.5;0.071;0.71
738;738;2.5;0.073;0.78
739;739;1.7;0.054;0.67
740;740;1.8;0.074;0.82
741;741;2.7;0.077;0.54
742;742;2.0;0.039;0.6
743;743;2.7;0.067;0.44
744;744;2.5;0.078;0.53
745;745;2.6;0.077;0.54
746;746;2.3;0.071;0.83
747;747;2.0;0.072;0.84
748;748;2.0;0.08;0.64
749;749;2.1;0.064;0.57
750;750;1.5;0.086;0.57
751;751;2.0;0.067;0.54
752;752;1.6;0.067;0.58
753;753;2.1;0.104;0.65
754;754;2.8;0.109;0.79
755;755;2.2;0.067;0.58
756;756;4.0;0.094;0.5
757;757;2.5;0.076;0.55
758;758;1.6;0.078;0.49
759;759;2.1;0.068;0.65
760;760;3.1;0.194;0.78
761;761;2.5;0.086;0.64
762;762;2.4;0.083;0.65
763;763;2.6;0.066;0.79
764;764;2.5;0.072;0.56
765;765;6.6;0.112;0.68
766;766;2.0;0.071;0.58
767;767;2.3;0.078;0.57
768;768;1.9;0.082;0.65
769;769;2.2;0.08;0.58
770;770;2.3;0.08;0.58
771;771;2.4;0.078;0.77
772;772;3.4;0.084;0.49
773;773;2.6;0.056;0.69
774;774;2.4;0.08;0.69
775;775;6.0;0.06;0.59
776;776;3.0;0.081;0.59
777;777;2.6;0.084;0.71
778;778;2.2;0.079;0.54
779;779;2.4;0.078;0.59
780;780;1.2;0.059;0.52
781;781;3.8;0.132;0.57
782;782;9.0;0.114;0.6
783;783;2.9;0.065;0.62
784;784;4.6;0.094;0.64
785;785;2.2;0.079;0.67
786;786;1.5;0.161;0.61
787;787;8.8;0.084;0.64
788;788;2.2;0.081;0.72
789;789;1.8;0.072;0.89
790;790;2.3;0.091;0.56
791;791;2.3;0.055;0.8
792;792;1.9;0.064;0.87
793;793;2.3;0.061;0.9
794;794;2.2;0.093;0.59
795;795;3.3;0.063;0.73
796;796;1.9;0.08;0.73
797;797;2.0;0.074;0.65
798;798;1.9;0.078;0.59
799;799;2.3;0.06;0.72
800;800;1.4;0.071;0.6
801;801;2.8;0.068;0.72
802;802;1.6;0.073;0.54
803;803;2.2;0.074;0.76
804;804;5.0;0.082;0.52
805;805;2.6;0.092;0.64
806;806;2.3;0.094;0.6
807;807;3.8;0.09;0.64
808;808;2.0;0.071;0.79
809;809;4.1;0.092;0.99
810;810;2.1;0.093;0.62
811;811;1.8;0.075;0.76
812;812;2.2;0.058;0.68
813;813;2.1;0.052;0.69
814;814;2.7;0.082;0.54
815;815;1.9;0.09;0.67
816;816;2.1;0.111;0.62
817;817;2.0;0.088;0.58
818;818;2.3;0.12;0.71
819;819;2.0;0.089;0.61
820;820;1.9;0.058;0.85
821;821;1.6;0.078;0.62
822;822;2.1;0.115;0.69
823;823;2.0;0.1;0.69
824;824;2.4;0.065;0.86
825;825;2.4;0.103;0.58
826;826;2.1;0.097;0.48
827;827;2.4;0.068;0.6
828;828;2.9;0.079;0.61
829;829;1.9;0.066;0.87
830;830;2.4;0.104;0.65
831;831;1.7;0.079;0.63
832;832;5.9;0.073;0.62
833;833;2.1;0.083;0.52
834;834;2.6;0.109;0.5
835;835;3.6;0.061;0.49
836;836;1.4;0.075;0.63
837;837;1.9;0.065;0.71
838;838;1.9;0.079;0.62
839;839;2.1;0.07;0.82
840;840;2.0;0.064;0.58
841;841;1.4;0.066;0.55
842;842;1.6;0.08;0.5
843;843;1.7;0.097;0.49
844;844;1.5;0.073;0.51
845;845;2.0;0.082;0.48
846;846;2.0;0.076;0.48
847;847;2.5;0.092;0.43
848;848;2.0;0.079;0.62
849;849;2.2;0.087;0.63
850;850;1.4;0.05;0.48
851;851;1.65;0.055;0.53
852;852;2.2;0.062;0.72
853;853;1.5;0.058;0.82
854;854;2.05;0.063;0.84
855;855;1.8;0.067;0.55
856;856;1.6;0.081;0.54
857;857;2.0;0.064;0.84
858;858;3.6;0.11;0.7
859;859;2.8;0.116;0.68
860;860;1.7;0.067;0.55
861;861;2.0;0.088;0.55
862;862;2.1;0.102;0.48
863;863;1.6;0.092;0.58
864;864;2.0;0.12;0.58
865;865;2.2;0.075;0.84
866;866;2.2;0.068;0.75
867;867;0.9;0.049;0.44
868;868;1.8;0.078;0.61
869;869;2.4;0.123;0.53
870;870;2.1;0.062;0.54
871;871;2.3;0.098;0.55
