wine_id;alcohol;density;pH;quality
59;9.5;0.9968;3.38;7
60;9.8;0.9966;3.39;5
61;10.9;0.9962;3.41;5
62;9.6;0.9968;3.42;5
63;10.7;0.9962;3.44;5
64;10.7;0.9969;3.28;5
65;10.5;0.9962;3.34;6
66;9.5;0.9967;3.32;6
67;9.5;0.9962;3.32;5
68;9.5;0.9961;3.31;5
69;9.2;0.9976;3.31;4
70;9.6;0.9984;3.28;5
71;10.5;0.9986;3.54;5
72;10.7;0.9966;3.52;6
73;10.1;0.9958;3.38;5
74;9.1;0.9972;3.16;4
75;9.2;0.9958;3.41;5
76;9.4;0.9974;3.13;5
77;9.1;0.997;3.36;5
78;9.4;0.9969;3.16;5
79;10.3;0.9959;3.44;6
80;10.1;0.9961;3.41;5
81;9.9;0.9972;2.93;6
82;9.6;0.9966;3.39;5
83;9.5;0.9978;3.14;5
84;9.0;0.9978;3.48;5
85;9.5;0.9964;3.23;5
86;9.8;0.9972;2.93;5
87;10.5;0.9938;3.75;4
88;12.9;0.9932;3.85;6
89;10.7;0.9965;3.45;5
90;9.2;0.9963;3.25;5
91;9.8;0.9967;3.39;5
92;9.0;0.9972;3.3;6
93;10.2;0.9972;3.4;6
94;10.4;0.9959;3.31;6
95;9.2;0.9967;3.29;5
96;9.4;0.996;3.33;5
97;9.3;0.9973;3.08;5
98;9.3;0.9969;3.46;5
99;9.6;0.9976;3.37;6
100;9.3;0.9969;3.21;5
101;9.5;0.9964;3.19;5
102;9.8;0.9964;3.15;5
103;9.8;0.9964;3.15;5
104;9.7;0.9988;3.32;6
105;10.5;0.9966;3.07;6
106;10.0;0.9978;3.39;6
107;9.4;0.997;3.37;6
108;10.9;0.9962;3.21;6
109;9.2;0.9959;3.34;6
110;9.0;0.9962;3.3;5
111;9.2;0.998;3.49;5
112;9.5;0.9976;3.44;5
113;9.5;0.996;3.39;5
114;9.4;0.9984;3.16;5
115;10.9;0.9964;3.53;5
116;10.9;0.9964;3.54;5
117;10.5;0.9962;3.42;7
118;9.4;0.9955;3.42;5
119;9.4;0.9968;3.24;5
120;13.0;0.9937;3.63;5
121;9.8;0.9952;3.4;6
122;9.9;0.9959;3.22;6
123;9.6;0.9965;3.19;5
124;9.5;0.9968;3.23;5
125;9.2;0.9972;3.48;5
126;9.5;0.9962;3.33;5
127;9.5;0.9962;3.32;5
128;14.0;0.9916;3.68;6
129;9.4;0.9954;3.34;5
130;9.4;0.9968;3.17;5
131;10.0;0.9944;3.54;5
132;9.3;0.9968;3.11;5
133;10.2;0.9959;3.42;6
134;10.5;0.9975;3.53;6
135;10.3;0.9958;3.33;6
136;9.4;0.9996;2.74;4
137;10.1;0.995;3.35;5
138;10.5;0.9973;3.42;5
139;10.5;0.9973;3.42;5
140;9.3;0.9969;3.48;5
141;9.3;0.9968;3.59;6
142;9.6;0.9959;3.2;5
143;9.2;0.9965;3.17;4
144;10.0;0.9964;3.33;6
145;9.4;0.9982;3.37;5
146;9.4;0.9981;3.37;5
147;9.5;0.9961;3.19;5
148;10.2;0.9956;3.34;5
149;9.0;0.9956;3.37;4
150;10.4;0.9953;3.47;6
151;9.5;0.9964;3.0;5
152;9.1;0.9972;3.36;4
153;9.2;0.9972;3.29;6
154;11.5;0.9961;3.42;6
155;9.5;0.9961;3.33;5
156;9.5;0.9958;3.35;5
157;10.5;0.9972;3.58;6
158;9.6;0.9969;3.48;5
159;9.5;0.9969;3.19;5
160;9.3;0.9972;3.12;5
161;9.3;0.9972;3.44;5
162;9.3;0.9971;3.54;5
163;9.3;0.997;3.52;6
164;9.7;0.9971;3.26;5
165;9.2;0.9972;3.34;5
166;9.7;0.9976;3.39;5
167;9.5;0.9968;3.2;5
168;9.5;0.9968;3.2;5
169;9.4;0.9976;3.23;5
170;9.8;0.9974;3.57;6
171;9.5;0.9969;3.28;5
172;9.7;0.9964;3.28;5
173;9.4;0.9968;3.25;5
174;10.2;0.9968;3.46;5
175;10.1;0.9981;3.11;6
176;13.0;0.9924;3.57;7
177;11.4;0.9948;3.51;4
178;10.3;0.99695;3.22;7
179;9.3;0.9975;3.04;5
180;9.5;0.99545;3.36;5
181;9.2;0.9961;3.34;5
182;9.2;0.99615;3.34;6
183;10.8;0.9994;3.2;7
184;9.3;0.99625;3.29;5
185;9.4;0.9966;3.22;5
186;10.5;0.998;3.31;7
187;12.4;0.99585;3.3;6
188;10.0;0.99685;3.35;6
189;10.2;0.998;3.21;6
190;10.1;0.9959;3.3;5
191;9.8;0.9974;3.24;6
192;10.5;0.9974;3.34;5
193;11.0;0.9962;3.14;5
194;9.1;0.9967;3.36;5
195;9.7;0.9957;3.39;5
196;9.5;0.99655;3.3;5
197;9.4;0.9964;3.34;6
198;9.4;0.9957;3.15;5
199;9.5;0.99525;3.42;5
200;10.0;0.99815;3.28;6
201;10.4;0.99745;3.31;4
202;10.5;0.99615;3.37;6
203;9.5;0.9964;3.04;6
204;9.8;0.9984;3.39;5
205;11.0;0.99685;3.46;5
206;12.2;0.9927;3.54;7
207;9.9;0.99625;3.37;6
208;9.6;0.998;3.34;6
209;9.0;0.99685;3.32;6
210;9.0;0.99675;3.37;6
211;9.2;0.99675;3.37;6
212;9.3;0.9971;3.0;5
213;10.9;0.99925;3.14;6
214;9.8;0.99565;3.08;6
215;9.2;1.00005;3.07;7
216;9.9;0.9983;3.61;6
217;9.5;0.99685;3.38;5
218;9.3;0.9963;3.2;5
219;9.8;0.99615;3.35;6
220;10.0;0.9985;3.22;6
221;9.9;0.9972;3.47;6
222;10.5;0.9986;3.17;5
223;9.5;0.9959;3.23;5
224;9.3;0.99675;3.26;5
225;9.2;0.998;3.22;5
226;9.2;0.9968;3.49;5
227;9.4;0.9968;3.06;5
228;10.5;0.99965;3.36;7
229;9.3;0.99625;3.29;5
230;9.4;0.99565;3.35;4
231;10.0;0.99575;3.34;5
232;9.3;0.9963;3.28;5
233;10.9;0.9999;3.08;5
234;10.2;0.9968;3.2;7
235;9.8;1.00025;3.6;4
236;12.8;0.9973;3.35;8
237;9.4;0.9987;3.69;6
238;10.1;0.9996;3.28;6
239;10.7;0.9965;3.36;6
240;10.1;0.99935;3.22;5
241;9.4;0.99735;3.31;5
242;9.4;0.99915;3.38;5
243;12.6;0.9976;3.23;8
244;10.5;0.9991;3.38;7
245;9.3;0.9986;3.12;6
246;9.9;0.9972;3.25;7
247;9.1;0.9971;3.36;5
248;9.8;1.00015;3.31;5
249;10.3;0.9997;3.1;6
250;10.3;0.9967;3.37;6
251;10.6;0.9976;3.34;7
252;9.2;1.001;3.2;5
253;10.5;0.9979;3.3;5
254;10.3;0.9994;3.22;6
255;10.1;0.9964;3.41;6
256;9.5;1.0014;3.05;6
257;9.5;1.0001;3.05;5
258;9.9;0.9981;3.16;5
259;9.6;0.99855;3.67;5
260;9.7;0.9993;3.67;5
261;9.6;0.99845;3.68;5
262;10.7;0.9965;3.38;6
263;10.1;0.9973;3.22;6
264;10.0;0.9994;3.51;5
265;9.5;0.996;3.39;5
266;9.2;0.9973;3.2;5
267;9.3;0.9998;3.12;6
268;9.4;0.9966;3.36;5
269;9.5;0.9994;3.19;6
270;9.5;0.9994;3.19;6
271;9.5;0.9968;3.41;6
272;9.4;0.996;3.27;6
273;9.5;0.99815;3.32;6
274;9.4;0.9976;3.3;5
275;11.0;0.99645;3.39;5
276;11.0;0.9962;3.42;6
277;10.1;0.9996;3.3;5
278;10.4;0.99865;3.3;6
279;11.5;0.9989;3.37;7
280;9.7;0.99975;3.24;5
281;9.3;0.99735;3.29;5
282;9.5;0.999;3.28;6
283;9.2;1.0015;3.16;6
284;11.5;0.9978;3.05;7
285;11.5;0.998;3.28;5
286;9.7;1.0002;3.16;6
287;9.5;0.9981;3.18;5
288;12.5;0.998;3.23;6
289;9.4;0.9973;3.22;6
290;11.0;0.9958;3.13;5
291;11.7;0.9963;3.34;7
292;12.2;0.9992;3.17;7
293;12.5;0.9948;3.35;6
294;10.3;0.9974;3.31;5
295;11.5;1.0008;3.16;6
296;9.8;0.9997;3.11;7
297;9.2;1.0;3.12;6
298;11.3;0.9972;3.21;6
299;9.8;0.9982;3.3;6
300;10.7;1.0006;3.12;6
301;9.9;0.9979;3.6;5
302;12.3;0.9955;3.58;7
303;12.0;0.9986;3.02;6
304;10.0;0.9979;3.11;6
305;9.4;0.9994;3.36;6
306;9.9;1.0004;3.28;6
307;9.4;0.9994;3.35;6
308;9.3;0.9974;3.27;5
309;13.0;1.0018;3.18;5
310;11.9;0.9912;3.25;6
311;12.8;0.9955;3.55;6
312;11.0;1.0001;3.26;5
313;11.7;0.997;3.24;7
314;10.4;1.0;3.15;7
315;9.8;1.001;3.17;6
316;9.4;0.9973;3.19;5
317;9.9;0.9982;3.37;6
318;10.0;0.9992;3.05;5
319;10.2;0.9988;2.99;5
320;10.0;1.0022;3.07;7
321;11.8;0.9979;3.26;6
322;9.0;1.0;3.16;5
323;9.4;0.9998;3.18;5
324;12.0;0.9962;3.2;7
325;9.9;0.9975;3.57;5
326;8.7;0.9967;3.32;6
327;10.6;0.9967;3.32;6
328;9.2;0.9959;3.05;5
329;10.8;1.0014;3.01;6
330;11.8;0.9984;3.01;7
331;11.0;1.0003;3.26;6
332;13.3;0.9988;3.11;6
333;10.8;0.9979;3.31;6
334;9.4;0.9974;3.21;6
335;10.0;1.0014;3.06;6
336;9.2;0.998;3.42;5
337;9.7;0.9979;3.43;6
338;9.2;0.9981;3.41;6
339;9.6;0.9972;3.31;6
340;9.2;0.9981;3.43;6
341;10.0;0.9982;3.19;7
342;12.9;0.9924;3.56;8
343;9.5;0.998;3.18;5
344;9.1;0.997;3.16;5
345;9.9;0.9997;3.03;5
346;13.0;1.0004;3.22;7
347;9.9;0.9994;3.47;5
348;11.0;0.9988;3.18;6
349;9.4;0.9963;3.1;5
350;10.8;0.9949;3.29;6
351;10.5;1.0;3.1;6
352;10.5;0.9994;3.15;6
353;9.1;0.9974;3.26;5
354;10.1;0.9966;3.36;6
355;10.8;0.9981;3.24;6
356;10.8;0.9996;3.18;7
357;11.3;0.997;3.19;6
358;9.6;0.9981;3.05;4
359;9.5;0.9987;3.38;6
360;9.5;0.9987;3.38;5
361;9.3;0.9966;3.27;5
362;11.7;0.9986;3.27;7
363;9.5;0.9982;3.26;5
364;9.3;1.0014;3.32;5
365;11.7;0.997;3.26;6
366;10.5;0.9956;3.44;5
367;10.4;0.9996;3.24;6
368;9.9;0.9976;3.62;5
369;11.8;0.9972;3.28;7
370;12.3;0.9952;3.52;7
371;10.9;0.9955;3.36;5
372;11.0;0.9978;3.15;7
373;11.4;0.9949;3.49;6
374;10.6;0.9988;3.26;6
375;9.3;0.9978;3.24;5
376;10.4;0.9997;3.1;6
377;9.2;0.9974;3.25;5
378;12.8;0.9958;3.0;6
379;9.5;1.0004;3.16;5
380;9.9;0.9996;3.15;6
381;10.2;0.9958;3.26;6
382;11.2;0.9986;3.17;6
383;9.3;0.9951;3.08;5
384;9.8;0.9987;2.88;8
385;11.3;0.9988;3.06;6
386;11.2;1.0032;2.95;7
387;11.6;0.9963;3.23;7
388;12.5;0.9934;3.57;7
389;10.1;0.9986;3.23;6
390;10.5;0.9996;3.1;5
391;11.2;0.9968;3.22;5
392;10.2;0.9967;3.2;6
393;10.8;0.9994;3.1;6
394;9.1;0.9979;3.06;6
395;10.0;0.9968;3.44;6
396;11.2;0.9998;3.26;7
397;11.1;0.9952;3.5;5
398;13.4;0.9988;3.22;8
399;10.3;0.9986;3.37;5
400;9.6;0.9988;3.28;5
401;9.0;1.0008;3.25;3
402;11.3;0.9976;3.35;6
403;9.3;0.9982;3.26;5
404;11.8;0.997;3.18;5
405;9.0;0.9972;3.08;5
406;9.2;0.9987;2.98;6
407;9.7;1.0006;3.48;5
408;11.5;0.9982;3.16;6
409;14.0;0.9947;3.32;6
410;9.2;1.0;3.17;6
411;9.8;0.9952;3.2;5
412;10.6;0.9996;3.05;5
413;11.4;0.997;3.2;6
414;10.4;0.9995;3.15;6
415;10.6;0.9971;3.26;5
416;9.4;0.9982;3.2;6
417;10.2;0.9988;3.14;5
418;9.7;0.998;3.28;5
419;11.0;0.9977;3.18;6
420;10.1;0.9984;3.19;6
421;9.2;1.0026;3.12;5
422;11.7;0.9964;3.15;8
423;9.4;0.9986;3.04;5
424;9.4;0.9986;3.04;5
425;13.4;0.997;3.06;6
426;10.0;0.9976;3.17;5
427;10.0;0.9982;3.17;6
428;10.8;1.0002;3.32;7
429;10.2;0.9984;3.34;6
430;10.6;0.9984;3.31;6
431;13.3;0.9952;3.34;7
432;13.4;0.995;3.32;7
433;11.6;1.0002;3.48;6
434;12.1;0.9952;3.44;6
435;11.0;0.9972;3.15;8
436;9.0;0.9984;3.43;6
437;11.1;0.9966;3.32;5
438;12.0;0.999;3.17;7
439;10.9;0.9976;3.18;7
440;10.8;0.9976;3.21;7
441;12.5;0.9968;3.16;7
442;10.8;0.9976;3.25;7
443;9.5;1.0;3.17;6
444;10.2;0.9994;3.18;6
445;11.4;0.9986;3.04;7
446;9.5;0.9978;3.02;5
447;9.7;0.998;3.03;6
448;11.8;0.9973;3.09;7
449;9.3;1.001;3.31;5
450;11.9;1.001;3.25;6
451;8.4;0.9994;3.16;3
452;11.7;0.9972;3.22;6
453;11.0;0.9966;3.36;5
454;10.0;0.9982;3.42;6
455;9.1;0.998;3.48;5
456;9.8;0.9979;3.38;5
457;9.4;0.9978;3.22;5
458;9.5;0.9976;3.23;5
459;9.9;0.9998;3.24;5
460;11.4;0.9962;3.39;6
461;8.7;0.9988;3.34;6
462;9.4;0.9974;3.09;5
463;10.3;0.999;3.41;6
464;10.3;1.0004;3.16;5
465;12.8;0.9956;3.22;6
466;10.0;1.0;3.28;6
467;10.7;0.9972;3.37;6
468;12.0;1.0014;3.2;7
469;11.2;0.9996;3.22;5
470;9.6;0.9988;3.26;5
471;11.0;0.9988;3.21;6
472;9.9;0.9966;3.12;5
473;11.0;0.9993;3.06;6
474;8.4;1.0008;2.86;6
475;9.1;0.9982;3.08;5
476;9.5;0.9983;3.45;6
477;10.7;0.9987;3.26;6
478;10.4;0.9994;3.12;6
479;9.4;0.9975;3.27;6
480;9.5;0.9958;3.33;6
481;10.0;0.998;3.19;6
482;10.0;0.998;3.12;6
483;11.5;0.9934;3.74;5
484;11.1;1.00315;2.92;5
485;11.7;1.0002;3.07;6
486;11.1;1.00315;2.92;5
487;12.7;1.0021;3.3;6
488;11.4;0.9994;3.14;5
489;9.2;0.9978;3.23;5
490;9.2;0.9982;3.08;5
491;10.1;0.9971;3.31;6
492;9.0;0.9991;3.32;6
493;10.7;0.999;3.31;6
494;11.7;0.9946;3.57;6
495;11.0;1.0003;3.32;6
496;10.4;0.9978;3.14;5
497;9.6;0.9991;3.3;4
498;10.0;0.9992;3.19;6
499;10.2;0.9993;3.2;6
500;10.0;0.9978;3.34;4
501;9.5;0.9982;3.3;5
502;9.8;0.9982;3.29;5
503;9.8;0.9976;3.14;6
504;9.6;1.0002;3.19;5
505;9.2;1.0;3.19;5
506;9.9;0.9976;2.98;7
507;10.7;1.0002;3.3;7
508;9.6;0.998;3.47;6
509;10.6;0.9986;3.12;7
510;9.3;0.9967;3.26;5
511;14.0;0.9917;3.72;8
512;10.5;0.9976;3.05;7
513;9.7;0.9987;3.35;5
514;11.5;0.9922;3.12;6
515;9.0;1.0004;3.29;5
516;9.5;0.9978;3.4;5
517;9.3;0.9998;3.27;5
518;9.3;0.9994;3.04;6
519;10.0;0.998;3.09;6
520;9.8;0.9967;3.2;6
521;9.3;1.0;3.0;6
522;10.0;0.9962;3.26;4
523;9.0;1.0006;3.1;6
524;9.3;0.9975;3.3;5
525;9.1;0.9984;3.17;6
526;9.2;0.9984;3.31;6
527;12.2;0.9973;3.34;7
528;10.5;0.9982;3.31;6
529;10.4;1.0026;3.32;6
530;12.7;0.9956;3.56;6
531;9.2;0.9983;3.39;5
532;9.4;1.0006;2.98;5
533;10.0;0.9965;3.32;6
534;9.8;0.9962;3.26;5
535;10.2;0.9969;2.87;6
536;9.7;0.9997;3.5;5
537;9.8;0.9982;3.03;6
538;10.2;1.0006;3.13;5
539;9.3;0.9988;3.09;5
540;9.4;0.9976;3.27;5
541;9.4;0.9976;3.28;5
542;9.5;0.9974;3.13;5
543;12.1;0.9974;3.49;6
544;10.2;0.9997;3.46;5
545;9.1;0.9988;3.36;5
546;9.3;0.9976;3.27;6
547;9.3;0.9964;3.21;5
548;9.5;0.9988;3.25;5
549;10.5;0.9964;3.32;6
550;11.3;1.001;3.43;4
551;9.5;0.9964;3.27;5
552;9.7;0.9954;3.27;5
553;9.4;0.9979;3.24;5
554;9.4;0.9978;3.24;5
555;10.2;0.9964;3.35;7
556;10.3;0.997;3.18;6
557;9.4;0.9991;3.39;5
558;9.5;0.9992;3.46;5
559;10.1;0.9984;3.37;7
560;10.1;0.9972;3.4;5
561;11.0;0.9967;3.32;4
562;11.2;0.9964;3.33;7
563;11.3;0.9948;3.16;6
564;9.6;0.9986;2.89;5
565;11.2;1.001;3.41;5
566;14.9;0.9976;2.98;5
567;12.0;0.9976;3.12;6
568;9.5;0.9979;3.08;5
569;9.4;1.0004;3.14;5
570;10.5;0.998;2.92;7
571;9.6;0.9973;3.32;6
572;11.0;0.997;3.41;4
573;9.0;0.9978;3.31;5
574;9.6;0.9972;3.36;6
575;10.2;0.9974;3.04;6
576;10.2;1.0;3.03;5
577;9.7;0.9981;3.14;5
578;9.5;0.998;3.18;6
579;9.2;0.9988;2.94;6
580;11.0;0.9966;3.15;5
581;10.0;0.9959;3.26;5
582;9.5;0.9968;3.2;5
583;9.5;0.998;3.15;5
584;9.3;0.9984;3.08;6
585;10.2;0.9984;3.26;5
586;9.9;0.9979;3.4;5
587;10.0;0.9983;3.48;5
588;9.6;0.9972;3.13;5
589;9.0;1.0004;3.06;5
590;10.2;0.9962;3.21;6
591;9.8;0.998;3.33;5
592;11.3;0.997;3.37;5
593;9.4;0.998;3.25;5
594;9.1;0.997;3.44;5
595;9.7;0.9998;3.28;5
596;9.4;0.9962;3.4;5
597;9.4;0.9976;3.3;5
598;10.7;0.9966;3.63;3
599;9.8;0.9998;3.48;5
600;9.0;0.9979;3.03;5
601;9.4;0.9984;3.32;5
602;9.4;0.9984;3.31;5
603;12.8;0.9921;3.9;6
604;9.5;0.9972;3.47;6
605;9.7;1.0001;3.31;5
606;10.8;0.9986;3.11;6
607;10.1;0.9984;3.08;6
608;9.4;0.997;3.47;6
609;9.6;0.9972;3.32;4
610;9.7;0.998;3.29;4
611;9.9;0.999;3.37;5
612;10.0;0.9956;3.4;5
613;10.5;0.9966;3.37;5
614;11.6;0.996;3.34;6
615;10.0;0.9983;3.27;6
616;10.1;0.9985;3.06;5
617;9.5;0.9998;3.38;5
618;9.4;0.9992;3.36;5
619;9.4;0.9976;3.34;5
620;9.8;0.998;3.28;5
621;9.2;0.9967;3.29;6
622;10.0;0.9968;3.21;5
623;9.6;0.9976;3.22;5
624;9.5;0.9976;3.46;5
625;9.2;0.9982;3.1;5
626;10.0;0.9968;3.21;5
627;9.5;0.9965;2.94;5
628;11.2;0.9958;3.54;4
629;10.4;0.9976;3.29;5
630;11.1;0.9994;3.43;6
631;9.5;0.997;3.46;5
632;12.7;0.995;3.61;6
633;9.6;0.9982;3.17;5
634;11.5;0.9994;3.44;5
635;9.6;0.9966;3.39;5
636;9.5;0.998;3.55;5
637;9.3;0.9987;3.48;5
638;9.5;0.9963;3.26;5
639;9.3;1.0002;3.5;6
640;9.2;0.9983;3.1;5
641;9.3;0.999;3.35;5
642;11.5;0.9965;3.45;6
643;9.5;0.99788;3.21;5
644;9.2;0.9972;3.46;5
645;10.0;1.00024;3.13;5
646;9.5;1.0001;3.13;5
647;9.5;0.99768;3.52;6
648;9.0;0.9978;3.3;6
649;9.4;0.99782;3.3;5
650;9.6;0.99761;3.52;6
651;9.5;0.99803;3.29;5
652;9.4;0.99785;3.39;5
653;9.1;0.99656;3.09;6
654;10.7;0.99525;3.51;6
655;11.2;0.99488;3.6;6
656;9.8;0.99656;3.25;5
657;9.2;0.99823;3.19;5
658;9.7;0.99779;3.23;5
659;9.6;0.99738;3.25;5
660;10.0;0.99701;3.31;6
661;9.5;0.99888;3.31;6
662;9.5;0.99888;3.31;6
663;9.4;0.99738;3.14;5
664;9.5;0.99938;3.45;5
665;9.7;0.99744;3.55;6
666;9.6;0.99668;3.39;5
667;9.4;0.9978;3.28;5
668;9.4;0.99782;3.27;5
669;9.5;0.9973;3.3;6
670;9.5;0.99727;3.31;6
671;10.0;0.99586;3.43;5
672;10.3;0.99612;3.4;6
673;10.3;0.9961;3.4;6
674;10.5;0.99788;3.36;5
675;9.8;0.99745;3.5;5
676;9.4;0.99676;3.31;6
677;9.8;0.99732;3.66;5
678;10.0;0.99814;3.36;5
679;9.8;0.99746;3.55;5
680;9.5;0.9982;3.21;5
681;10.1;0.9991;3.18;6
682;9.3;0.998;3.09;5
683;9.7;0.99708;3.33;6
684;9.6;0.99818;3.23;5
685;9.7;0.99745;3.48;6
686;10.8;0.99639;3.38;5
687;12.5;0.99531;3.17;6
688;10.2;0.99786;2.99;5
689;9.6;0.99746;3.1;5
690;10.8;0.99526;3.24;7
691;10.7;0.9987;3.29;6
692;9.4;0.99641;3.25;5
693;10.0;0.99735;3.23;5
694;12.9;0.99264;3.56;7
695;9.6;0.9971;3.24;6
696;9.9;0.99682;3.26;6
697;12.8;0.99356;3.33;7
698;12.5;0.99386;3.27;7
699;9.2;0.99702;3.26;5
700;10.3;0.99693;3.22;6
701;10.5;0.99562;3.3;5
702;10.9;1.00012;3.09;6
703;10.8;0.99818;3.24;5
704;11.4;0.99462;3.44;4
705;11.3;0.99939;3.21;6
706;10.5;0.9984;3.23;6
707;11.9;0.99545;3.28;6
708;9.4;0.99632;3.29;5
709;9.6;0.99976;3.28;5
710;9.7;0.99606;3.34;5
711;14.0;0.99154;3.71;7
712;9.8;0.9973;3.61;5
713;10.3;0.99682;3.24;5
714;10.7;0.99624;3.36;5
715;11.0;0.9951;3.4;7
716;12.7;0.99417;3.46;8
717;11.1;0.99376;3.56;6
718;10.9;0.99632;3.38;4
719;9.9;0.99832;3.38;3
720;9.9;0.99836;3.38;4
721;9.4;0.99694;3.32;5
722;9.3;0.99655;3.39;5
723;11.7;0.99064;3.26;7
724;11.2;0.99672;3.24;7
725;10.0;0.99647;3.46;5
726;12.1;0.99736;3.24;7
727;10.3;0.99629;3.45;5
728;10.9;0.99708;3.23;6
729;9.4;0.9963;3.28;5
730;10.6;0.9959;3.18;6
731;9.8;0.99689;3.59;5
732;9.9;0.9977;3.5;6
733;9.8;0.99689;3.58;5
734;9.5;0.99708;3.28;5
735;9.7;0.99801;3.22;5
736;10.9;0.99652;3.47;6
737;11.7;0.99538;3.51;7
738;11.3;0.99594;3.4;7
739;10.6;0.99686;3.15;7
740;11.2;0.99438;3.4;6
741;9.5;0.99746;3.51;5
742;11.5;0.99357;3.66;6
743;10.4;0.99628;3.24;5
744;9.7;0.99746;3.51;5
745;9.7;0.99748;3.51;5
746;11.3;0.99438;3.41;6
747;11.2;0.99438;3.4;6
748;10.9;0.99578;3.44;6
749;11.8;0.99371;3.41;6
750;10.6;0.99522;3.53;5
751;10.0;0.99576;3.43;4
752;11.1;0.99552;3.23;7
753;11.8;0.99664;3.12;7
754;11.8;0.99614;3.31;7
755;10.9;0.99517;3.4;4
756;10.0;0.99787;3.22;6
757;9.5;0.99745;3.53;5
758;9.9;0.99576;3.15;5
759;11.4;0.99533;3.48;6
760;12.0;0.99536;3.22;6
761;10.5;0.99824;3.34;5
762;10.4;0.99836;3.33;6
763;12.1;0.99577;3.15;7
764;11.2;0.99491;3.43;6
765;9.3;1.00289;3.22;5
766;10.1;0.99576;3.44;5
767;9.7;0.99743;3.53;5
768;9.3;0.99774;3.22;6
769;9.8;0.99745;3.53;6
770;10.7;0.9955;3.42;6
771;12.5;0.99444;3.31;7
772;11.0;0.99892;3.48;3
773;11.8;0.99562;3.4;5
774;10.8;0.99736;3.58;7
775;10.8;0.9962;3.41;7
776;9.5;0.998;3.23;5
777;11.0;0.9964;3.39;5
778;11.5;0.9948;3.59;6
779;10.8;0.99528;3.43;6
780;11.5;0.99331;3.29;6
781;13.2;0.99577;3.23;6
782;10.9;0.99901;3.18;6
783;12.2;0.99674;3.33;6
784;12.2;0.99639;3.27;7
785;11.9;0.99512;3.27;6
786;11.0;0.99395;3.62;5
787;10.1;0.99824;3.38;6
788;11.0;0.9964;3.3;6
789;11.8;0.99504;3.38;6
790;10.5;0.99786;3.24;5
791;11.2;0.99516;3.18;5
792;11.0;0.99604;3.47;7
793;10.2;0.99786;3.47;6
794;9.2;0.99736;3.2;4
795;12.0;0.99468;3.3;7
796;10.5;0.99746;3.69;5
797;9.8;0.99748;3.48;5
798;9.5;0.9971;3.45;6
799;11.8;0.99543;3.39;6
800;10.4;0.99791;3.07;4
801;12.9;0.99356;3.34;7
802;11.4;0.99425;3.61;5
803;12.4;0.99509;3.36;7
804;12.5;0.99484;3.19;7
805;10.0;0.99834;3.22;7
806;9.7;0.99864;3.24;7
807;12.1;0.99498;3.27;7
808;11.1;0.99566;3.14;7
809;12.0;0.99745;3.29;7
810;12.4;0.99408;3.26;7
811;11.9;0.99552;3.41;7
812;11.2;0.99536;3.31;7
813;12.1;0.99458;3.2;7
814;12.2;0.99538;3.44;6
815;10.4;0.99648;3.36;5
816;11.3;0.99568;3.31;6
817;11.1;0.99613;3.29;6
818;11.3;0.99519;3.47;7
819;10.0;0.99735;3.36;5
820;11.1;0.99518;3.16;6
821;9.3;0.99592;3.27;5
822;9.5;0.99654;3.38;5
823;11.2;0.99546;3.15;6
824;11.0;0.99554;3.34;6
825;11.9;0.99604;3.13;7
826;9.2;0.99733;3.13;5
