acidity_id;wine_id;fixed_acidity;volatile_acidity;citric_acid
70;70;9.7;0.32;0.54
71;71;8.8;0.41;0.64
72;72;6.8;0.785;0.0
73;73;6.7;0.75;0.12
74;74;8.3;0.625;0.2
75;75;6.2;0.45;0.2
76;76;7.8;0.43;0.7
77;77;7.4;0.5;0.47
78;78;7.3;0.67;0.26
79;79;6.3;0.3;0.48
80;80;6.9;0.55;0.15
81;81;8.6;0.49;0.28
82;82;7.7;0.49;0.26
83;83;9.3;0.39;0.44
84;84;7.0;0.62;0.08
85;85;7.9;0.52;0.26
86;86;8.6;0.49;0.29
87;87;5.0;1.02;0.04
88;88;4.7;0.6;0.17
89;89;6.8;0.775;0.0
90;90;7.0;0.5;0.25
91;91;7.6;0.9;0.06
92;92;8.1;0.545;0.18
93;93;8.3;0.61;0.3
94;94;7.8;0.5;0.3
95;95;8.1;0.575;0.22
96;96;7.2;0.49;0.24
97;97;7.8;0.41;0.68
98;98;6.2;0.63;0.31
99;99;8.0;0.33;0.53
100;100;8.1;0.785;0.52
101;101;7.8;0.56;0.19
102;102;8.4;0.62;0.09
103;103;8.4;0.6;0.1
104;104;10.1;0.31;0.44
105;105;9.4;0.4;0.31
106;106;8.3;0.54;0.28
107;107;7.8;0.56;0.12
108;108;8.8;0.55;0.04
109;109;7.0;0.69;0.08
110;110;7.3;1.07;0.09
111;111;7.3;0.695;0.0
112;112;8.0;0.71;0.0
113;113;7.8;0.5;0.17
114;114;9.0;0.62;0.04
115;115;8.2;1.33;0.0
116;116;8.1;1.33;0.0
117;117;8.0;0.59;0.16
118;118;6.1;0.38;0.15
119;119;8.0;0.745;0.56
120;120;5.6;0.5;0.09
121;121;6.6;0.5;0.01
122;122;7.9;1.04;0.05
123;123;8.4;0.745;0.11
124;124;8.3;0.715;0.15
125;125;7.2;0.415;0.36
126;126;7.8;0.56;0.19
127;127;7.8;0.56;0.19
128;128;5.2;0.34;0.0
129;129;6.3;0.39;0.08
130;130;8.1;0.67;0.55
131;131;5.8;0.68;0.02
132;132;7.6;0.49;0.26
133;133;6.9;0.49;0.1
134;134;8.2;0.4;0.44
135;135;7.3;0.33;0.47
136;136;9.2;0.52;1.0
137;137;7.5;0.6;0.03
138;138;7.1;0.43;0.42
139;139;7.1;0.43;0.42
140;140;7.1;0.68;0.0
141;141;6.8;0.6;0.18
142;142;7.6;0.95;0.03
143;143;7.6;0.68;0.02
144;144;7.8;0.53;0.04
145;145;7.4;0.6;0.26
146;146;7.3;0.59;0.26
147;147;7.8;0.63;0.48
148;148;6.8;0.64;0.1
149;149;7.3;0.55;0.03
150;150;6.8;0.63;0.07
151;151;7.5;0.705;0.24
152;152;7.9;0.885;0.03
153;153;8.0;0.42;0.17
154;154;7.4;0.62;0.05
155;155;7.3;0.38;0.21
156;156;6.9;0.5;0.04
157;157;7.5;0.52;0.42
158;158;7.0;0.805;0.0
159;159;8.8;0.61;0.14
160;160;8.9;0.61;0.49
161;161;7.2;0.73;0.02
162;162;6.8;0.61;0.2
163;163;6.7;0.62;0.21
164;164;8.9;0.31;0.57
165;165;7.4;0.39;0.48
166;166;7.7;0.705;0.1
167;167;7.9;0.5;0.33
168;168;7.9;0.49;0.32
169;169;8.2;0.5;0.35
170;170;6.4;0.37;0.25
171;171;6.8;0.63;0.12
172;172;7.6;0.55;0.21
173;173;7.8;0.59;0.33
174;174;7.3;0.58;0.3
175;175;11.5;0.3;0.6
176;176;5.4;0.835;0.08
177;177;6.9;1.09;0.06
178;178;9.6;0.32;0.47
179;179;8.8;0.37;0.48
180;180;6.8;0.5;0.11
181;181;7.0;0.42;0.35
182;182;7.0;0.43;0.36
183;183;12.8;0.3;0.74
184;184;7.8;0.57;0.31
185;185;7.8;0.44;0.28
186;186;11.0;0.3;0.58
187;187;9.7;0.53;0.6
188;188;8.0;0.725;0.24
189;189;11.6;0.44;0.64
190;190;8.2;0.57;0.26
191;191;7.8;0.735;0.08
192;192;7.0;0.49;0.49
193;193;8.7;0.625;0.16
194;194;8.1;0.725;0.22
195;195;7.5;0.49;0.19
196;196;7.8;0.53;0.33
197;197;7.8;0.34;0.37
198;198;7.4;0.53;0.26
199;199;6.8;0.61;0.04
200;200;8.6;0.645;0.25
201;201;8.4;0.635;0.36
202;202;7.7;0.43;0.25
203;203;8.9;0.59;0.5
204;204;9.0;0.82;0.14
205;205;6.9;0.52;0.25
206;206;5.2;0.48;0.04
207;207;8.0;0.38;0.06
208;208;8.5;0.37;0.2
209;209;8.2;1.0;0.09
210;210;7.2;0.63;0.0
211;211;7.2;0.645;0.0
212;212;8.9;0.635;0.37
213;213;12.0;0.38;0.56
214;214;7.7;0.58;0.1
215;215;15.0;0.21;0.44
216;216;7.3;0.66;0.0
217;217;7.1;0.68;0.07
218;218;8.2;0.6;0.17
219;219;7.7;0.53;0.06
220;220;10.8;0.32;0.44
221;221;7.1;0.6;0.0
222;222;11.1;0.35;0.48
223;223;7.7;0.775;0.42
224;224;8.0;0.57;0.23
225;225;9.4;0.34;0.37
226;226;6.6;0.695;0.0
227;227;7.7;0.41;0.76
228;228;10.0;0.31;0.47
229;229;7.9;0.33;0.23
230;230;7.0;0.975;0.04
231;231;8.0;0.52;0.03
232;232;7.9;0.37;0.23
233;233;12.5;0.56;0.49
234;234;11.8;0.26;0.52
235;235;8.1;0.87;0.0
236;236;7.9;0.35;0.46
237;237;6.9;0.54;0.04
238;238;11.5;0.18;0.51
239;239;7.9;0.545;0.06
240;240;10.9;0.37;0.58
241;241;8.4;0.715;0.2
242;242;7.5;0.65;0.18
243;243;10.3;0.32;0.45
244;244;8.9;0.4;0.32
245;245;11.4;0.26;0.44
246;246;7.7;0.27;0.68
247;247;7.6;0.52;0.12
248;248;9.9;0.59;0.07
249;249;12.0;0.45;0.55
250;250;7.5;0.4;0.12
251;251;8.7;0.52;0.09
252;252;11.6;0.42;0.53
253;253;11.0;0.2;0.48
254;254;10.4;0.55;0.23
255;255;6.9;0.36;0.25
256;256;13.3;0.34;0.52
257;257;10.8;0.5;0.46
258;258;10.6;0.83;0.37
259;259;7.1;0.63;0.06
260;260;7.2;0.65;0.02
261;261;6.9;0.67;0.06
262;262;7.5;0.53;0.06
263;263;11.1;0.18;0.48
264;264;8.3;0.705;0.12
265;265;7.4;0.67;0.12
266;266;8.4;0.65;0.6
267;267;10.3;0.53;0.48
268;268;7.6;0.62;0.32
269;269;10.3;0.41;0.42
270;270;10.3;0.43;0.44
271;271;7.4;0.29;0.38
272;272;7.9;0.53;0.24
273;273;9.0;0.46;0.31
274;274;8.6;0.47;0.3
275;275;7.4;0.36;0.29
276;276;7.1;0.35;0.29
277;277;9.6;0.56;0.23
278;278;9.6;0.77;0.12
279;279;9.8;0.66;0.39
280;280;9.3;0.61;0.26
281;281;7.8;0.62;0.05
282;282;10.3;0.59;0.42
283;283;10.0;0.49;0.2
284;284;11.6;0.53;0.66
285;285;10.3;0.44;0.5
286;286;13.4;0.27;0.62
287;287;10.7;0.46;0.39
288;288;10.2;0.36;0.64
289;289;8.0;0.58;0.28
290;290;8.4;0.56;0.08
291;291;7.9;0.65;0.01
292;292;11.9;0.695;0.53
293;293;8.9;0.43;0.45
294;294;7.8;0.43;0.32
295;295;12.4;0.49;0.58
296;296;12.5;0.28;0.54
297;297;12.2;0.34;0.5
298;298;10.6;0.42;0.48
299;299;10.9;0.39;0.47
300;300;11.9;0.57;0.5
301;301;7.0;0.685;0.0
302;302;6.6;0.815;0.02
303;303;13.8;0.49;0.67
304;304;9.6;0.56;0.31
305;305;9.1;0.785;0.0
306;306;10.7;0.67;0.22
307;307;9.1;0.795;0.0
308;308;7.7;0.665;0.0
309;309;13.5;0.53;0.79
310;310;6.1;0.21;0.4
311;311;6.7;0.75;0.01
312;312;11.5;0.41;0.52
313;313;10.5;0.42;0.66
314;314;11.9;0.43;0.66
315;315;12.6;0.38;0.66
316;316;8.2;0.7;0.23
317;317;8.6;0.45;0.31
318;318;11.9;0.58;0.66
319;319;12.5;0.46;0.63
320;320;12.8;0.615;0.66
321;321;10.0;0.42;0.5
322;322;10.4;0.575;0.61
323;323;10.3;0.34;0.52
324;324;9.4;0.27;0.53
325;325;6.9;0.765;0.02
326;326;7.9;0.24;0.4
327;327;9.1;0.28;0.48
328;328;7.4;0.55;0.22
329;329;14.0;0.41;0.63
330;330;11.5;0.54;0.71
331;331;11.5;0.45;0.5
332;332;11.4;0.625;0.66
333;333;8.3;0.42;0.38
334;334;8.3;0.26;0.42
335;335;13.7;0.415;0.68
336;336;7.7;0.51;0.28
337;337;7.4;0.63;0.07
338;338;7.8;0.54;0.26
339;339;8.3;0.66;0.15
340;340;7.8;0.46;0.26
341;341;9.6;0.38;0.31
342;342;5.6;0.85;0.05
343;343;9.5;0.37;0.52
344;344;8.4;0.665;0.61
345;345;12.7;0.6;0.65
346;346;12.0;0.37;0.76
347;347;6.6;0.735;0.02
348;348;11.5;0.59;0.59
349;349;8.7;0.765;0.22
350;350;7.7;0.26;0.3
351;351;12.2;0.48;0.54
352;352;11.4;0.6;0.49
353;353;7.7;0.69;0.05
354;354;8.7;0.31;0.46
355;355;9.8;0.44;0.47
356;356;12.0;0.39;0.66
357;357;10.4;0.34;0.58
358;358;12.5;0.46;0.49
359;359;9.0;0.43;0.34
360;360;9.1;0.45;0.35
361;361;7.1;0.735;0.16
362;362;9.9;0.4;0.53
363;363;8.8;0.52;0.34
364;364;8.6;0.725;0.24
365;365;10.6;0.48;0.64
366;366;7.0;0.58;0.12
367;367;11.9;0.38;0.51
368;368;6.8;0.77;0.0
369;369;9.5;0.56;0.33
370;370;6.6;0.84;0.03
371;371;7.7;0.96;0.2
372;372;10.5;0.24;0.47
373;373;6.4;0.67;0.08
374;374;9.5;0.78;0.22
375;375;9.1;0.52;0.33
376;376;12.8;0.84;0.63
377;377;7.8;0.55;0.35
378;378;11.9;0.37;0.69
379;379;12.3;0.39;0.63
380;380;10.4;0.41;0.55
381;381;8.0;0.67;0.3
382;382;11.1;0.45;0.73
383;383;7.0;0.62;0.18
384;384;12.6;0.31;0.72
385;385;11.9;0.4;0.65
386;386;15.6;0.685;0.76
387;387;10.0;0.44;0.49
388;388;5.3;0.57;0.01
389;389;9.5;0.735;0.1
390;390;12.5;0.38;0.6
391;391;9.3;0.48;0.29
392;392;8.6;0.53;0.22
393;393;11.9;0.39;0.69
394;394;8.4;0.37;0.53
395;395;6.8;0.56;0.03
396;396;10.4;0.33;0.63
397;397;7.0;0.23;0.4
398;398;11.3;0.62;0.67
399;399;8.9;0.59;0.39
400;400;9.2;0.63;0.21
401;401;11.6;0.58;0.66
402;402;9.2;0.43;0.52
403;403;8.3;0.615;0.22
404;404;11.0;0.26;0.68
405;405;8.1;0.66;0.7
406;406;11.5;0.315;0.54
407;407;10.0;0.29;0.4
408;408;10.3;0.5;0.42
409;409;8.8;0.46;0.45
410;410;11.4;0.36;0.69
411;411;8.7;0.82;0.02
412;412;13.0;0.32;0.65
413;413;9.6;0.54;0.42
414;414;12.5;0.37;0.55
415;415;9.9;0.35;0.55
416;416;10.5;0.28;0.51
417;417;9.6;0.68;0.24
418;418;9.3;0.27;0.41
419;419;10.4;0.24;0.49
420;420;9.4;0.685;0.11
421;421;10.6;0.28;0.39
422;422;9.4;0.3;0.56
423;423;10.6;0.36;0.59
424;424;10.6;0.36;0.6
425;425;10.6;0.44;0.68
426;426;10.2;0.67;0.39
427;427;10.2;0.645;0.36
428;428;11.6;0.32;0.55
429;429;9.3;0.39;0.4
430;430;9.3;0.775;0.27
431;431;9.2;0.41;0.5
432;432;8.9;0.4;0.51
433;433;8.7;0.69;0.31
434;434;6.5;0.39;0.23
435;435;10.7;0.35;0.53
436;436;7.8;0.52;0.25
437;437;7.2;0.34;0.32
438;438;10.4;0.44;0.73
439;439;10.5;0.26;0.47
440;440;10.5;0.24;0.42
441;441;10.2;0.49;0.63
442;442;10.4;0.24;0.46
443;443;11.2;0.67;0.55
444;444;10.0;0.59;0.31
445;445;13.3;0.29;0.75
446;446;12.4;0.42;0.49
447;447;10.7;0.4;0.48
448;448;10.5;0.51;0.64
449;449;8.5;0.655;0.49
450;450;12.5;0.6;0.49
451;451;10.4;0.61;0.49
452;452;10.9;0.21;0.49
453;453;7.3;0.365;0.49
454;454;9.8;0.25;0.49
455;455;7.6;0.41;0.49
456;456;8.2;0.39;0.49
457;457;9.3;0.4;0.49
458;458;9.2;0.43;0.49
459;459;10.4;0.64;0.24
460;460;7.0;0.38;0.49
461;461;8.2;0.42;0.49
462;462;9.9;0.63;0.24
463;463;9.1;0.22;0.24
464;464;11.9;0.38;0.49
465;465;10.3;0.27;0.24
466;466;10.0;0.48;0.24
467;467;8.1;0.825;0.24
468;468;12.9;0.35;0.49
469;469;11.2;0.5;0.74
470;470;9.2;0.59;0.24
471;471;9.5;0.46;0.49
472;472;9.3;0.715;0.24
473;473;11.2;0.66;0.24
474;474;14.3;0.31;0.74
475;475;9.1;0.47;0.49
476;476;7.5;0.55;0.24
477;477;10.6;0.31;0.49
478;478;12.4;0.35;0.49
479;479;9.0;0.53;0.49
480;480;6.8;0.51;0.01
481;481;9.4;0.43;0.24
482;482;9.5;0.46;0.24
483;483;5.0;1.04;0.24
484;484;15.5;0.645;0.49
485;485;10.9;0.53;0.49
486;486;15.6;0.645;0.49
487;487;13.0;0.47;0.49
488;488;12.7;0.6;0.49
489;489;9.0;0.44;0.49
490;490;9.0;0.54;0.49
491;491;7.6;0.29;0.49
492;492;8.7;0.7;0.24
493;493;9.8;0.5;0.49
494;494;6.2;0.36;0.24
495;495;11.5;0.35;0.49
496;496;10.2;0.24;0.49
497;497;10.5;0.59;0.49
498;498;10.6;0.34;0.49
499;499;12.3;0.27;0.49
500;500;9.9;0.5;0.24
501;501;8.8;0.44;0.49
502;502;8.8;0.47;0.49
503;503;10.6;0.31;0.49
504;504;12.3;0.5;0.49
505;505;11.7;0.49;0.49
506;506;12.0;0.28;0.49
507;507;11.8;0.33;0.49
508;508;7.6;0.51;0.24
509;509;11.1;0.31;0.49
510;510;7.3;0.73;0.24
511;511;5.0;0.42;0.24
512;512;10.2;0.29;0.49
513;513;9.0;0.45;0.49
514;514;6.6;0.39;0.49
515;515;9.9;0.49;0.58
516;516;7.9;0.72;0.17
517;517;8.9;0.595;0.41
518;518;12.4;0.4;0.51
519;519;11.9;0.58;0.58
520;520;8.5;0.585;0.18
521;521;12.7;0.59;0.45
522;522;8.2;0.915;0.27
523;523;13.2;0.46;0.52
524;524;7.7;0.835;0.0
525;525;8.3;0.58;0.13
526;526;8.3;0.6;0.13
527;527;9.4;0.41;0.48
528;528;8.8;0.48;0.41
529;529;10.1;0.65;0.37
530;530;6.3;0.36;0.19
531;531;8.8;0.24;0.54
532;532;13.2;0.38;0.55
533;533;7.5;0.64;0.0
534;534;8.2;0.39;0.38
535;535;9.2;0.755;0.18
536;536;9.6;0.6;0.5
537;537;11.5;0.31;0.51
538;538;11.4;0.46;0.5
539;539;11.3;0.37;0.41
540;540;8.3;0.54;0.24
541;541;8.2;0.56;0.23
542;542;10.0;0.58;0.22
543;543;7.9;0.51;0.25
544;544;6.8;0.69;0.0
545;545;8.8;0.6;0.29
546;546;8.7;0.54;0.26
547;547;7.6;0.685;0.23
548;548;10.4;0.28;0.54
549;549;7.6;0.41;0.14
550;550;10.1;0.935;0.22
551;551;7.9;0.35;0.21
552;552;8.7;0.84;0.0
553;553;9.6;0.88;0.28
554;554;9.5;0.885;0.27
555;555;7.7;0.915;0.12
556;556;8.9;0.29;0.35
557;557;9.9;0.54;0.45
558;558;9.5;0.59;0.44
559;559;7.8;0.64;0.1
560;560;7.3;0.67;0.05
561;561;8.3;0.845;0.01
562;562;8.7;0.48;0.3
563;563;6.7;0.42;0.27
564;564;10.7;0.43;0.39
565;565;9.8;0.88;0.25
566;566;15.9;0.36;0.65
567;567;9.4;0.33;0.59
568;568;8.6;0.47;0.47
569;569;9.7;0.55;0.17
570;570;12.0;0.5;0.59
571;571;7.2;0.52;0.07
572;572;7.1;0.84;0.02
573;573;7.5;0.42;0.31
574;574;7.2;0.57;0.06
575;575;10.1;0.28;0.46
576;576;12.1;0.4;0.52
577;577;9.4;0.59;0.14
578;578;8.3;0.49;0.36
579;579;11.3;0.34;0.45
580;580;10.0;0.73;0.43
581;581;6.9;0.4;0.24
582;582;8.2;0.73;0.21
583;583;9.8;1.24;0.34
584;584;10.8;0.4;0.41
585;585;9.3;0.41;0.39
586;586;8.6;0.8;0.11
587;587;8.3;0.78;0.1
588;588;10.8;0.26;0.45
589;589;13.3;0.43;0.58
590;590;8.0;0.45;0.23
591;591;8.5;0.46;0.31
592;592;8.1;0.78;0.23
593;593;9.8;0.98;0.32
594;594;7.1;0.65;0.18
595;595;9.1;0.64;0.23
596;596;7.7;0.66;0.04
597;597;8.1;0.38;0.48
598;598;7.4;1.185;0.0
599;599;9.2;0.92;0.24
600;600;8.6;0.49;0.51
601;601;9.0;0.48;0.32
602;602;9.0;0.47;0.31
603;603;5.1;0.47;0.02
604;604;7.0;0.65;0.02
605;605;9.4;0.615;0.28
606;606;11.8;0.38;0.55
607;607;10.6;1.02;0.43
608;608;7.0;0.64;0.02
609;609;7.5;0.38;0.48
610;610;9.1;0.765;0.04
611;611;8.4;1.035;0.15
612;612;7.0;0.78;0.08
613;613;7.4;0.49;0.19
614;614;7.8;0.545;0.12
615;615;9.7;0.31;0.47
616;616;10.6;1.025;0.43
617;617;8.9;0.565;0.34
618;618;8.7;0.69;0.0
619;619;8.0;0.43;0.36
620;620;9.9;0.74;0.28
621;621;7.2;0.49;0.18
622;622;7.6;0.46;0.11
623;623;8.4;0.56;0.04
624;624;7.1;0.66;0.0
625;625;8.9;0.48;0.24
626;626;7.6;0.42;0.08
627;627;7.1;0.31;0.3
628;628;7.5;1.115;0.1
629;629;9.0;0.66;0.17
630;630;8.1;0.72;0.09
631;631;6.4;0.57;0.02
632;632;6.4;0.865;0.03
633;633;9.5;0.55;0.66
634;634;8.9;0.875;0.13
635;635;7.3;0.835;0.03
636;636;7.0;0.45;0.34
637;637;7.7;0.56;0.2
638;638;7.7;0.965;0.1
639;639;8.2;0.59;0.0
640;640;9.0;0.46;0.23
641;641;9.0;0.69;0.0
642;642;8.3;0.76;0.29
643;643;9.2;0.53;0.24
644;644;6.5;0.615;0.0
645;645;11.6;0.41;0.58
646;646;11.1;0.39;0.54
647;647;7.3;0.51;0.18
648;648;8.2;0.34;0.38
649;649;8.6;0.33;0.4
650;650;7.2;0.5;0.18
651;651;8.3;0.65;0.1
652;652;7.6;0.54;0.13
653;653;7.8;0.48;0.68
654;654;7.8;0.91;0.07
655;655;6.3;0.98;0.01
656;656;8.1;0.87;0.0
657;657;8.8;0.42;0.21
658;658;9.0;0.58;0.25
659;659;9.3;0.655;0.26
660;660;8.8;0.7;0.0
661;661;9.1;0.68;0.11
662;662;9.2;0.67;0.1
663;663;8.8;0.59;0.18
664;664;7.5;0.6;0.32
665;665;7.1;0.59;0.02
666;666;7.9;0.72;0.01
667;667;9.4;0.685;0.26
668;668;9.5;0.57;0.27
669;669;7.9;0.4;0.29
670;670;7.9;0.4;0.3
671;671;7.2;1.0;0.0
672;672;6.9;0.765;0.18
673;673;6.9;0.635;0.17
674;674;8.3;0.43;0.3
675;675;7.1;0.52;0.03
676;676;7.0;0.57;0.0
677;677;6.5;0.46;0.14
678;678;9.0;0.82;0.05
679;679;7.1;0.59;0.01
680;680;9.9;0.35;0.41
681;681;10.0;0.56;0.24
682;682;8.6;0.63;0.17
683;683;7.4;0.37;0.43
684;684;8.8;0.64;0.17
685;685;7.1;0.61;0.02
686;686;7.7;0.6;0.0
687;687;10.1;0.27;0.54
688;688;10.8;0.89;0.3
689;689;8.7;0.46;0.31
690;690;9.3;0.37;0.44
691;691;9.4;0.5;0.34
692;692;7.2;0.61;0.08
693;693;8.6;0.55;0.09
694;694;5.1;0.585;0.0
695;695;7.7;0.56;0.08
696;696;8.4;0.52;0.22
697;697;8.2;0.28;0.4
698;698;8.4;0.25;0.39
699;699;7.4;0.53;0.12
700;700;7.6;0.48;0.31
701;701;7.3;0.49;0.1
702;702;12.9;0.5;0.55
703;703;10.8;0.45;0.33
704;704;6.9;0.39;0.24
705;705;12.6;0.41;0.54
706;706;9.8;0.51;0.19
707;707;10.8;0.29;0.42
708;708;7.1;0.715;0.0
709;709;9.1;0.66;0.15
710;710;7.0;0.685;0.0
711;711;4.9;0.42;0.0
712;712;6.7;0.54;0.13
713;713;7.1;0.48;0.28
714;714;7.1;0.46;0.14
715;715;7.5;0.27;0.34
716;716;7.8;0.57;0.09
717;717;5.9;0.61;0.08
718;718;7.5;0.685;0.07
719;719;10.4;0.44;0.42
720;720;11.6;0.47;0.44
721;721;8.8;0.685;0.26
722;722;7.6;0.665;0.1
723;723;6.7;0.28;0.28
724;724;10.1;0.31;0.35
725;725;6.0;0.5;0.04
726;726;11.1;0.42;0.47
727;727;6.6;0.66;0.0
728;728;10.6;0.5;0.45
729;729;7.1;0.685;0.35
730;730;9.9;0.25;0.46
731;731;6.4;0.64;0.21
732;732;7.4;0.68;0.16
733;733;6.4;0.63;0.21
734;734;9.3;0.43;0.44
735;735;8.0;0.42;0.32
736;736;9.3;0.36;0.39
737;737;7.6;0.735;0.02
738;738;8.2;0.26;0.34
739;739;11.7;0.28;0.47
740;740;6.8;0.56;0.22
741;741;7.2;0.62;0.06
742;742;5.8;1.01;0.66
743;743;7.5;0.42;0.32
744;744;7.2;0.62;0.06
745;745;7.2;0.635;0.07
746;746;6.8;0.49;0.22
747;747;6.9;0.51;0.23
748;748;7.6;0.63;0.03
749;749;7.7;0.715;0.01
750;750;6.9;0.56;0.03
751;751;7.3;0.35;0.24
752;752;9.1;0.21;0.37
753;753;10.4;0.38;0.46
754;754;8.8;0.31;0.4
755;755;7.1;0.47;0.0
756;756;8.8;0.61;0.19
757;757;7.2;0.6;0.04
758;758;9.2;0.56;0.18
759;759;7.6;0.715;0.0
760;760;8.4;0.31;0.29
761;761;8.9;0.75;0.14
762;762;9.0;0.8;0.12
763;763;10.7;0.52;0.38
764;764;6.8;0.57;0.0
765;765;10.7;0.9;0.34
766;766;7.2;0.34;0.24
767;767;7.2;0.66;0.03
768;768;10.1;0.45;0.23
769;769;7.2;0.63;0.03
770;770;7.1;0.59;0.01
771;771;8.3;0.31;0.39
772;772;8.3;1.02;0.02
773;773;8.9;0.31;0.36
774;774;7.4;0.635;0.1
775;775;6.8;0.59;0.06
776;776;9.2;0.58;0.2
777;777;7.2;0.54;0.27
778;778;6.1;0.56;0.0
779;779;7.4;0.52;0.13
780;780;7.3;0.305;0.39
781;781;9.3;0.38;0.48
782;782;9.1;0.28;0.46
783;783;10.0;0.46;0.44
784;784;9.4;0.395;0.46
785;785;8.6;0.315;0.4
786;786;5.3;0.715;0.19
787;787;6.8;0.41;0.31
788;788;8.4;0.36;0.32
789;789;8.4;0.62;0.12
790;790;9.6;0.41;0.37
791;791;8.6;0.47;0.27
792;792;8.6;0.22;0.36
793;793;9.4;0.24;0.33
794;794;8.4;0.67;0.19
795;795;8.7;0.33;0.38
796;796;6.6;0.61;0.01
797;797;7.4;0.61;0.01
798;798;7.6;0.4;0.29
799;799;8.8;0.3;0.38
800;800;12.0;0.63;0.5
801;801;7.2;0.38;0.38
802;802;6.2;0.46;0.17
803;803;9.6;0.33;0.52
804;804;9.9;0.27;0.49
805;805;10.1;0.43;0.4
806;806;9.8;0.5;0.34
807;807;8.3;0.3;0.49
808;808;10.2;0.44;0.42
809;809;10.2;0.44;0.58
810;810;8.3;0.28;0.48
811;811;8.9;0.12;0.45
812;812;8.2;0.31;0.4
813;813;10.2;0.34;0.48
814;814;7.6;0.43;0.4
815;815;8.5;0.21;0.52
816;816;9.0;0.36;0.52
817;817;9.5;0.37;0.52
818;818;6.4;0.57;0.12
819;819;8.0;0.59;0.05
820;820;8.5;0.47;0.27
821;821;7.1;0.56;0.14
822;822;6.6;0.57;0.02
823;823;8.8;0.27;0.39
824;824;8.3;0.34;0.4
825;825;9.0;0.38;0.41
826;826;8.5;0.66;0.2
827;827;9.0;0.4;0.43
828;828;6.7;0.56;0.09
829;829;10.4;0.26;0.48
830;830;10.1;0.38;0.5
831;831;8.5;0.34;0.44
832;832;8.8;0.33;0.41
833;833;7.2;0.41;0.3
834;834;8.4;0.59;0.29
835;835;7.0;0.4;0.32
836;836;12.2;0.45;0.49
837;837;9.1;0.5;0.3
838;838;9.5;0.86;0.26
839;839;7.3;0.52;0.32
840;840;7.4;0.58;0.0
841;841;9.8;0.34;0.39
842;842;7.1;0.36;0.3
843;843;7.7;0.39;0.12
844;844;9.7;0.295;0.4
845;845;7.1;0.34;0.28
846;846;6.5;0.4;0.1
847;847;10.0;0.35;0.45
848;848;7.7;0.6;0.06
849;849;5.6;0.66;0.0
850;850;8.9;0.84;0.34
851;851;6.4;0.69;0.0
852;852;7.5;0.43;0.3
853;853;9.9;0.35;0.38
854;854;9.1;0.29;0.33
855;855;6.8;0.36;0.32
856;856;8.2;0.43;0.29
857;857;9.1;0.3;0.34
858;858;8.9;0.35;0.4
859;859;9.6;0.5;0.36
860;860;8.9;0.28;0.45
861;861;8.9;0.32;0.31
862;862;7.7;1.005;0.15
863;863;7.5;0.71;0.0
864;864;8.0;0.58;0.16
865;865;10.5;0.39;0.46
866;866;8.9;0.38;0.4
867;867;8.0;0.18;0.37
868;868;7.0;0.5;0.14
869;869;11.3;0.36;0.66
870;870;7.0;0.51;0.09
